## Table: LBDWH.V_T_CIF_MSTR
Library   : LBDWH
Schema    : DWHOWR
Engine    : ODBC (Oracle)
Variables : 127

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
---|--------------------------------|------|-----|-------------|--------------------------------
64 | RSDT_OWN_CODE                  | Char | 4   | $4.         | RSDT_OWN_CODE
65 | RSDT_TYP_CODE                  | Char | 1   | $1.         | RSDT_TYP_CODE
66 | MTHS_IN_RSDT                   | Num  | 8   | 5.          | MTHS_IN_RSDT
67 | OTH_CR_NO                      | Num  | 8   | 3.          | OTH_CR_NO
68 | OTH_LN_NO                      | Num  | 8   | 3.          | OTH_LN_NO
69 | CSTMT_FLG                      | Char | 1   | $1.         | CSTMT_FLG
70 | CSTMT_DTE                      | Num  | 8   | DATETIME20. | CSTMT_DTE
71 | SECT35_FLG                     | Char | 1   | $1.         | SECT35_FLG
72 | TP_RT_FLG                      | Char | 1   | $1.         | TP_RT_FLG
73 | ID_ISS_CNTRY_CODE              | Char | 2   | $2.         | ID_ISS_CNTRY_CODE
74 | HLDG_COMP_IND                  | Char | 1   | $1.         | HLDG_COMP_IND
75 | ADDR_SEQ_NO                    | Num  | 8   | 4.          | ADDR_SEQ_NO
76 | INSIDER_CODE                   | Char | 1   | $1.         | INSIDER_CODE
77 | RSDT_CNTRY_CODE                | Char | 3   | $3.         | RSDT_CNTRY_CODE
78 | PRI_INDST_CODE                 | Char | 8   | $8.         | PRI_INDST_CODE
79 | SEC_INDST_CODE                 | Char | 8   | $8.         | SEC_INDST_CODE
80 | TERT_INDST_CODE                | Char | 8   | $8.         | TERT_INDST_CODE
81 | RISK_CODE                      | Char | 4   | $4.         | RISK_CODE
82 | NXT_CR_REVIEW_DTE              | Num  | 8   | DATETIME20. | NXT_CR_REVIEW_DTE
83 | MAS757_STS_CODE                | Char | 1   | $1.         | MAS757_STS_CODE
84 | PRI_BIZ_CNTRY                  | Char | 3   | $3.         | PRI_BIZ_CNTRY
85 | SEC_BIZ_CNTRY                  | Char | 3   | $3.         | SEC_BIZ_CNTRY
86 | TERT_BIZ_CNTRY                 | Char | 3   | $3.         | TERT_BIZ_CNTRY
87 | CREATE_USR                     | Char | 10  | $10.        | CREATE_USR
88 | CREATE_STAFF                   | Char | 10  | $10.        | CREATE_STAFF
89 | CREATE_TIME                    | Num  | 8   | 7.          | CREATE_TIME
90 | CREATE_WKSTN                   | Char | 10  | $10.        | CREATE_WKSTN
91 | LAST_MAINT_TIME                | Num  | 8   | 7.          | LAST_MAINT_TIME
92 | LAST_MAINT_DTE                 | Num  | 8   | DATETIME20. | LAST_MAINT_DTE
93 | LAST_MAINT_USR                 | Char | 10  | $10.        | LAST_MAINT_USR
94 | LAST_MAINT_STAFF               | Char | 10  | $10.        | LAST_MAINT_STAFF
95 | LAST_MAINT_WKSTN               | Char | 10  | $10.        | LAST_MAINT_WKSTN
96 | UPDT_FLG                       | Char | 1   | $1.         | UPDT_FLG
97 | CSE_FLG                        | Char | 1   | $1.         | CSE_FLG
98 | CHARITY_FLG                    | Char | 1   | $1.         | CHARITY_FLG
99 | SUSP_SHELL_CMP                 | Char | 10  | $10.        | SUSP_SHELL_CMP
100| RELIGION_CODE                  | Char | 2   | $2.         | RELIGION_CODE
101| ACCESS_LVL_CODE                | Char | 1   | $1.         | ACCESS_LVL_CODE
102| EMP_NO                         | Num  | 8   | 7.          | EMP_NO
103| DEPNT_AGE                      | Char | 30  | $30.        | DEPNT_AGE
104| LAST_AA_APPROVAL_DTE           | Num  | 8   | DATETIME20. | LAST_AA_APPROVAL_DTE
105| CTRL_IND                       | Char | 1   | $1.         | CTRL_IND
106| TREAT_PTS                      | Num  | 8   | 8.          | TREAT_PTS
107| MEM_IND                        | Char | 1   | $1.         | MEM_IND
108| MEM_EXP_DATE                   | Num  | 8   | DATETIME20. | MEM_EXP_DATE
109| RIV_RWD_TYP                    | Char | 2   | $2.         | RIV_RWD_TYP
110| RIV_TREAT_PTS                  | Num  | 8   | 12.         | RIV_TREAT_PTS
111| RIV_CASH_REBATE                | Num  | 8   | 19.2        | RIV_CASH_REBATE
112| OFFICER_CODE                   | Char | 10  | $10.        | OFFICER_CODE
113| BIRTH_CNTRY_CODE               | Char | 3   | $3.         | BIRTH_CNTRY_CODE
114| SEG_CODE                       | Char | 5   | $5.         | SEG_CODE
115| SUB_SEG_CODE                   | Char | 5   | $5.         | SUB_SEG_CODE
116| SOLICITOR_SUB_SEG              | Char | 10  | $10.        | SOLICITOR_SUB_SEG
117| RCMS_IND                       | Char | 1   | $1.         | RCMS_IND
118| PASSPORT_EXPIRY_DTE            | Num  | 8   | DATETIME20. | PASSPORT_EXPIRY_DTE
119| AI_STS                         | Char | 1   | $1.         | AI_STS
120| AI_INCEPTION_DTE               | Num  | 8   | DATETIME20. | AI_INCEPTION_DTE
121| AI_EXPIRY_DTE                  | Num  | 8   | DATETIME20. | AI_EXPIRY_DTE
122| STATE_OWN_PCT                  | Char | 20  | $20.        | STATE_OWN_PCT
123| PRE_NPL_STS                    | Char | 3   | $3.         | PRE_NPL_STS
124| MAS_SME_FLG                    | Char | 10  | $10.        | MAS_SME_FLG
125| AVQ_BP_OPN_DTE                 | Num  | 8   | DATETIME20. | AVQ_BP_OPN_DTE
126| PASSPORT_LETTER_EXP_FLAG       | Char | 1   | $1.         | PASSPORT_LETTER_EXP_FLAG
127| UCIF_NO                        | Char | 50  | $50.        | UCIF_NO
