## Table: LBDWH.V_T_MTH_AC_DTL
Library   : LBDWH
Schema    : DWHOWR
Engine    : ODBC (Oracle)
Variables : 130

## Variable Reference
# Num = Numeric, Char = Character

#  | Variable                       | Type | Len | Format      | Label
116| LEFS_INT_LINE                  | Char | 8   | $8.         | LEFS_INT_LINE
117| FAC_TENOR_MTHS                 | Num  | 8   | 4.          | FAC_TENOR_MTHS
118| LCY_EIR_ADJ_AMT                | Num  | 8   | 32.2        | LCY_EIR_ADJ_AMT
119| LCY_INT_UNWIND_CLOSING_FY      | Num  | 8   | 32.2        | LCY_INT_UNWIND_CLOSING_FY
120| LCY_ECL_CLOSING_FY             | Num  | 8   | 32.2        | LCY_ECL_CLOSING_FY
121| LCY_MAS_GROSS_LN_BAL           | Num  | 8   | 32.2        | LCY_MAS_GROSS_LN_BAL
122| LCY_MAS_NET_LN_BAL             | Num  | 8   | 32.2        | LCY_MAS_NET_LN_BAL
123| LCY_MAS_GROSS_DP_BAL           | Num  | 8   | 32.2        | LCY_MAS_GROSS_DP_BAL
124| MTHS_IN_ARREAR                 | Num  | 8   | 6.          | MTHS_IN_ARREAR
125| MTM_GAINLOSS_IND               | Char | 4   | $4.         | MTM_GAINLOSS_IND
126| RCY_COUPON_OS_AMT              | Num  | 8   | 19.2        | RCY_COUPON_OS_AMT
127| RCY_PROFIT_ACRUED              | Num  | 8   | 19.2        | RCY_PROFIT_ACRUED
128| RCY_TOT_PROFIT_DUE             | Num  | 8   | 19.2        | RCY_TOT_PROFIT_DUE
129| PRINCIPAL_PYM_DTE              | Num  | 8   | DATETIME20. | PRINCIPAL_PYM_DTE
130| RCY_PRINCIPAL_CF_AMT           | Num  | 8   | 19.2        | RCY_PRINCIPAL_CF_AMT
